2 worlds have been produced.

1. World
1.H disjoint 2.I
1.H disjoint 2.F
1.H disjoint 2.G
1.H disjoint 2.E
1.E disjoint 2.H
1.E disjoint 2.I
1.E disjoint 2.F
1.E disjoint 2.G
1.E disjoint 2.C
1.B disjoint 2.H
1.B disjoint 2.I
1.B disjoint 2.F
1.B disjoint 2.G
1.C disjoint 2.E
1.C disjoint 2.G
1.C disjoint 2.F
1.C disjoint 2.I
1.C disjoint 2.H
1.D disjoint 2.E
1.D disjoint 2.G
1.D disjoint 2.F
1.D disjoint 2.I
1.D disjoint 2.H
1.G disjoint 2.C
1.G disjoint 2.B
1.G disjoint 2.E
1.G disjoint 2.I
1.G disjoint 2.H
1.F disjoint 2.C
1.F disjoint 2.E
1.F disjoint 2.I
1.I disjoint 2.E
1.I disjoint 2.G
1.I disjoint 2.H
1.H disjoint 2.C
1.B overlaps 2.C
1.F overlaps 2.B
1.F overlaps 2.F
1.I overlaps 2.C
1.I overlaps 2.B
1.I overlaps 2.F
1.A includes 2.C
1.B includes 2.E
1.A includes 2.H
1.A includes 2.I
1.A includes 2.F
1.A includes 2.G
1.A includes 2.B
1.A includes 2.E
1.F includes 2.G
1.F includes 2.H
1.I includes 2.I
1.H is_included_in 2.B
1.E is_included_in 2.B
1.E is_included_in 2.A
1.B is_included_in 2.B
1.B is_included_in 2.A
1.C is_included_in 2.A
1.C is_included_in 2.C
1.C is_included_in 2.B
1.D is_included_in 2.A
1.D is_included_in 2.C
1.D is_included_in 2.B
1.G is_included_in 2.A
1.G is_included_in 2.F
1.F is_included_in 2.A
1.I is_included_in 2.A
1.H is_included_in 2.A
1.H equals 2.H
1.E equals 2.E
1.G equals 2.G
1.A equals 2.A

2. World
1.H disjoint 2.I
1.H disjoint 2.F
1.H disjoint 2.G
1.H disjoint 2.E
1.E disjoint 2.H
1.E disjoint 2.I
1.E disjoint 2.F
1.E disjoint 2.G
1.E disjoint 2.C
1.B disjoint 2.H
1.B disjoint 2.I
1.B disjoint 2.F
1.B disjoint 2.G
1.C disjoint 2.E
1.C disjoint 2.G
1.C disjoint 2.F
1.C disjoint 2.I
1.C disjoint 2.H
1.D disjoint 2.E
1.D disjoint 2.G
1.D disjoint 2.F
1.D disjoint 2.I
1.D disjoint 2.H
1.G disjoint 2.C
1.G disjoint 2.B
1.G disjoint 2.E
1.G disjoint 2.I
1.G disjoint 2.H
1.F disjoint 2.C
1.F disjoint 2.E
1.F disjoint 2.I
1.I disjoint 2.C
1.I disjoint 2.B
1.I disjoint 2.E
1.I disjoint 2.G
1.I disjoint 2.H
1.H disjoint 2.C
1.F overlaps 2.B
1.F overlaps 2.F
1.A includes 2.C
1.B includes 2.E
1.B includes 2.C
1.A includes 2.H
1.A includes 2.I
1.A includes 2.F
1.A includes 2.G
1.A includes 2.B
1.A includes 2.E
1.F includes 2.G
1.F includes 2.H
1.H is_included_in 2.B
1.E is_included_in 2.B
1.E is_included_in 2.A
1.B is_included_in 2.B
1.B is_included_in 2.A
1.C is_included_in 2.A
1.C is_included_in 2.C
1.C is_included_in 2.B
1.D is_included_in 2.A
1.D is_included_in 2.C
1.D is_included_in 2.B
1.G is_included_in 2.A
1.G is_included_in 2.F
1.F is_included_in 2.A
1.I is_included_in 2.A
1.I is_included_in 2.F
1.H is_included_in 2.A
1.H equals 2.H
1.E equals 2.E
1.G equals 2.G
1.I equals 2.I
1.A equals 2.A
